feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
low52w_prox_adj,36,0.04417274032469567,0.02982225836763036,0.14444444444444446,0.09166666666666667,0.05652911249293386,-0.13728223946420837,-0.02257671692010366,0.010336664472187009,0.03291338139229067,0.9151515151515152,0.1655554364310753
dist_52w_high,30,-0.24316030737897146,-0.31020866423993093,0.03666666666666667,0.03833333333333334,0.05652911249293386,-0.05267206121123695,0.04156664777193767,-0.043589818317029815,-0.08515646608896749,-0.9030303030303028,1.008940423291147e-05
rsi_14,36,0.06770512165345693,0.06429868463224317,0.10833333333333334,0.07916666666666666,0.05652911249293386,-0.11823520336331568,-0.013221584422386709,0.03950192143782856,0.05272350586021527,0.7939393939393938,0.02698113431842352
rvol_20,36,-0.0136152246680976,-0.030210594369598737,0.07500000000000001,0.052777777777777785,0.05652911249293386,-0.07702207231684365,0.012807314235960857,0.00155639390382133,-0.011250920332139527,-0.0303030303030303,0.5733346363947941
turnover_log,36,-0.18342204604930945,-0.25010729441734036,0.027777777777777776,0.04166666666666667,0.05652911249293386,-0.07317683747028686,0.0420695136954834,-0.024217544860035998,-0.0662870585555194,-0.9030303030303028,1.3155592818669596e-07
close_to_ma60,35,0.08453447041101614,0.10162168582074689,0.12000000000000001,0.08,0.05652911249293386,-0.15381220448236577,-0.036179557016579336,0.031197547749136266,0.0673771047657156,0.9151515151515152,0.01723295595789481
close_to_ma240,30,0.1791635994349959,0.2552411316526902,0.14333333333333337,0.09000000000000002,0.05652911249293386,-0.14303991248452388,-0.043629566303315374,0.03548447372463575,0.07911404002795112,0.8909090909090909,0.0005892236630774011
atr_ratio_20_60,35,-0.029216892951151558,-0.03039503653674815,0.08285714285714287,0.06999999999999998,0.05652911249293386,-0.10629074499353698,0.0073700554687444585,0.027977214996299807,0.020607159527555347,0.01818181818181818,0.38323639387975195
foreign_pct,35,-0.06107937677695772,-0.036695594590840395,0.05142857142857143,0.05142857142857143,0.05652911249293386,-0.07141963606288851,-0.012499335614791983,-0.027098192879743035,-0.014598857264951052,-0.22424242424242422,0.10072598993205674
total_pct,35,-0.07121744506354348,-0.04389981937437865,0.04571428571428572,0.05142857142857143,0.05652911249293386,-0.07395669044045812,-0.01458745639999115,-0.027250028142526903,-0.012662571742535753,-0.28484848484848485,0.052398983671934164
foreign_net_pressure,35,-0.061472814637893516,-0.03732638648428707,0.04571428571428572,0.05142857142857143,0.05652911249293386,-0.07084299289992858,-0.011884895100823602,-0.02762128078928779,-0.015736385688464187,-0.2606060606060606,0.09731907216807571
trust_net_pressure,35,-0.017739451834279198,-0.03883227610744418,0.025714285714285714,0.04857142857142858,0.05652911249293386,-0.06851704023076967,,,,,0.5105278277178361
total_net_pressure,35,-0.07066174428376756,-0.043297091671193104,0.04571428571428572,0.05142857142857143,0.05652911249293386,-0.07395669044045812,-0.014087369853966636,-0.025836962667946026,-0.01174959281397939,-0.23636363636363633,0.05252752368967031
f_score,34,0.1406399438858532,0.15069032549626687,0.04411764705882354,0.05147058823529412,0.05652911249293386,-0.06773751924532992,,,,,0.00014895145057299404
z_score,34,-0.08372855877114924,-0.11625160231434309,0.029411764705882353,0.041176470588235294,0.05652911249293386,-0.05783555611289394,0.03311890777333565,-0.016695508109028756,-0.049814415882364405,-0.3939393939393939,5.5112501829317105e-05
foreign_pct_4w_delta,34,-0.031037338635577547,-0.027633446159539186,0.04411764705882354,0.04264705882352942,0.05652911249293386,-0.06750855272788744,-0.012131570002144824,-0.021664196625615056,-0.009532626623470233,-0.28484848484848485,0.34069459253747036
foreign_pct_8w_delta,33,-0.026299010437387582,-0.0447631513208272,0.05757575757575758,0.05454545454545455,0.05652911249293386,-0.06855740763433178,-0.01534714761951131,-0.014415024525432744,0.0009321230940785661,0.11515151515151514,0.36053434458384004
total_pct_4w_delta,34,-0.031542219898464896,-0.0383630450850964,0.04411764705882354,0.04264705882352942,0.05652911249293386,-0.06692388669098014,-0.004134972851353125,-0.021794680651905884,-0.01765970780055276,-0.23636363636363633,0.35387452524405394
